Id,Name,Type,Industry,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,Phone,Website,Rating,Description,CreatedDate,NumberOfEmployees,AnnualRevenue,ParentId
001OLEw0xIyryQpQ2X,Novacairn Northstar Western Logistics,Prospect,Energy,9852 Watson Lake Suite 992,Lake Briar,WA,43001,United States,'+1-303-555-0183,https://novacairn-northstar-western-logistics.example.invalid,Cold,Established organization focused on service reliability.,2026-03-19T05:31:52Z,900,227417859.7,
001rvlO3y0uELfOAW4,Morrowfen Silverline Regional Works,Former Customer,Energy,88135 Jones Mount,Willow Harbor,TX,16269,United States,'+1-415-555-0189,https://morrowfen-silverline-regional-works.example.invalid,Hot,Established organization focused on service reliability.,2021-12-10T04:50:02Z,90,20944638.49,
001NQ7pQIMyLteLAHE,Latticebrook Westwind Lakeside Industries,Former Customer,Healthcare,60310 White Parks Apt. 180,Alder Bay,WA,28724,United States,'+1-415-555-0153,https://latticebrook-westwind-lakeside-industries.example.invalid,Cold,Established organization focused on service reliability.,2021-07-29T01:33:44Z,48,13562827.97,
001Cie8IUBvN1LAIXN,Kestrel Arc Brightwater Frontier Systems,Customer,Business Services,32594 Timothy Dam,Summit Glen,NC,44355,United States,'+1-202-555-0159,https://kestrel-arc-brightwater-frontier-systems.example.invalid,Cold,Growing organization with a multi-year technology roadmap.,2021-11-19T09:53:07Z,48,10750230.39,
001B2d6s5HXqPpaQYB,Juniper Vale Copperfield Worldwide Analytics,Customer,Education,4490 Timothy Pass,Northhaven,TX,14293,United States,'+1-303-555-0137,https://juniper-vale-copperfield-worldwide-analytics.example.invalid,Cold,Regional organization evaluating operational improvements.,2022-11-09T01:26:54Z,90,25556499.8,001OLEw0xIyryQpQ2X
001PNjrEBhT4URLAB1,Ivorypine Farpoint Southern Logistics,Former Customer,Consumer Goods,976 Cooper Row,Willow Harbor,MA,90801,United States,'+1-202-555-0191,https://ivorypine-farpoint-southern-logistics.example.invalid,Warm,Growing organization with a multi-year technology roadmap.,2024-02-18T16:23:28Z,520,109083505.46,
001Xr4ot1oG2AteQ4O,Harborlume Highland Northern Works,Former Customer,Consumer Goods,19352 Nicholas Meadow Suite 105,Summit Glen,CA,80672,United States,'+1-303-555-0140,https://harborlume-highland-northern-works.example.invalid,Cold,Regional organization evaluating operational improvements.,2024-09-29T09:17:39Z,48,10603803.64,
001IOGBmeiQlCpGYR9,Glimmerforge Juniper Frontier Industries,Prospect,Financial Services,6376 Kathryn Divide,Northhaven,CO,71701,United States,'+1-202-555-0143,https://glimmerforge-juniper-frontier-industries.example.invalid,Warm,Established organization focused on service reliability.,2024-01-21T02:19:35Z,900,302157693.09,
001yvWhfz01vDWFY3M,Fablecrest Longview Worldwide Partners,Prospect,Transportation,14636 Thomas Fords Apt. 103,Willow Harbor,WA,45982,United States,'+1-303-555-0125,https://fablecrest-longview-worldwide-partners.example.invalid,Warm,Growing organization with a multi-year technology roadmap.,2025-12-29T11:35:42Z,48,8356280.36,
001ygA3FAG75gTTAXO,Evertrail Northstar Southern Analytics,Customer,Retail,69615 Bell Canyon Suite 428,Northhaven,OR,32372,United States,'+1-713-555-0137,https://evertrail-northstar-southern-analytics.example.invalid,Cold,Established organization focused on service reliability.,2021-04-21T12:49:23Z,3000,901658543.23,
001qP46mGWsPnuOQ5R,Deltora Silverline Northern Logistics,Former Customer,Technology,4016 Frank Point,Lake Briar,CA,43593,United States,'+1-415-555-0149,https://deltora-silverline-northern-logistics.example.invalid,Cold,Established organization focused on service reliability.,2024-11-02T17:08:53Z,48,8202936.02,001rvlO3y0uELfOAW4
