Id,Name,ProductCode,Family,QuantityUnitOfMeasure,Description,CreatedDate,IsActive
01tajD2y2VoohjWQ7N,Danielle Tyler Figueroa,SYN-000001,Support,Each,Synthetic support offering for benchmark workloads.,2021-02-05T08:15:40Z,1
01tfpNseevgyHG4I4H,Colin Stephanie Munoz,SYN-000002,Support,License,Synthetic support offering for benchmark workloads.,2022-01-09T09:31:24Z,1
01tVcftrCBIXeCkYVP,George Michael Martin,SYN-000003,Training,Seat,Synthetic training offering for benchmark workloads.,2023-10-08T23:54:16Z,1
01tehSnAF5tx1G7IVN,Anna Amanda Burgess,SYN-000004,Training,Subscription,Synthetic training offering for benchmark workloads.,2025-09-24T12:05:03Z,1
01tnFIvrye7TJuKI6Y,Ryan Dominique Smith,SYN-000005,Support,License,Synthetic support offering for benchmark workloads.,2021-07-10T03:29:39Z,1
01tURhthsLx6JyoQOA,Virtual Ember Data Platform Select Vector,SYN-000006,Data Platform,License,Synthetic data platform offering for benchmark workloads.,2023-04-15T01:53:33Z,1
01tyFDvfjAnoVc9Q1B,Thomas Richard Baker,SYN-000007,Support,Subscription,Synthetic support offering for benchmark workloads.,2025-10-20T20:08:21Z,1
01tKUFhZVuSwLH0YFY,Dynamic Orbit Data Platform Enterprise Nova,SYN-000008,Data Platform,Seat,Synthetic data platform offering for benchmark workloads.,2022-09-15T14:43:59Z,1
01tKASeQMf6eJe3A8K,Integrated Foundry Data Platform Professional Zenith,SYN-000009,Data Platform,Subscription,Synthetic data platform offering for benchmark workloads.,2021-10-01T17:01:24Z,1
01tbwEYr7q9wizHQ3D,Todd Matthew Cummings,SYN-000010,Hardware,Each,Synthetic hardware offering for benchmark workloads.,2024-10-12T03:02:57Z,1
01tE5PQcgk49jQkYPK,Corey Timothy Novak,SYN-000011,Training,License,Synthetic training offering for benchmark workloads.,2023-04-06T11:46:29Z,1
01tTNvOYUjuEQraQ3O,Casey Joseph Leonard,SYN-000012,Hardware,License,Synthetic hardware offering for benchmark workloads.,2026-05-18T09:41:23Z,1
01t9zr8VHPQu1LlI0K,Virtual Compass Data Platform Professional Horizon,SYN-000013,Data Platform,Each,Synthetic data platform offering for benchmark workloads.,2022-07-16T05:05:55Z,1
01t10q07GCeMRMXQCJ,Christine William Jones,SYN-000014,Support,Each,Synthetic support offering for benchmark workloads.,2021-08-14T16:25:31Z,1
01t7lGWe0GCEcFvQ4A,Dynamic Lattice Cloud Service Edge Aurora,SYN-000015,Cloud Service,Seat,Synthetic cloud service offering for benchmark workloads.,2022-06-05T02:47:05Z,1
01t2bA7wlnQeUCxIWS,Integrated Ember Cloud Service Foundation Ion,SYN-000016,Cloud Service,License,Synthetic cloud service offering for benchmark workloads.,2024-05-10T04:50:46Z,1
01t6YVKVUd3CfahQAX,Melissa Amanda King,SYN-000017,Hardware,Each,Synthetic hardware offering for benchmark workloads.,2025-10-27T04:51:11Z,1
01t264L3UVk4S01QTC,Rachel Michael Fleming,SYN-000018,Hardware,Each,Synthetic hardware offering for benchmark workloads.,2023-04-05T23:37:51Z,1
01tV2dvwb7kXQVhITI,Mark Mike Rasmussen,SYN-000019,Training,Subscription,Synthetic training offering for benchmark workloads.,2024-09-09T17:57:36Z,1
01tkl3rdZhto0MWIR8,Virtual Beacon Cloud Service Foundation Vector,SYN-000020,Cloud Service,License,Synthetic cloud service offering for benchmark workloads.,2021-08-05T13:56:22Z,1
01t7Wi3QdB9AjcFYKP,Adaptive Pioneer Cloud Service Select Cascade,SYN-000021,Cloud Service,Each,Synthetic cloud service offering for benchmark workloads.,2023-05-05T02:05:25Z,0
01tNG3h4vNcQBi8YQG,Sara David Diaz,SYN-000022,Hardware,Seat,Synthetic hardware offering for benchmark workloads.,2023-01-13T04:26:44Z,1
01tcw78vDX9RWoZQ06,Gene Frederick Campbell,SYN-000023,Hardware,Subscription,Synthetic hardware offering for benchmark workloads.,2022-12-26T04:17:57Z,1
01tTiYOuKc2VhIKABY,Modular Summit Data Platform Premier Cobalt,SYN-000024,Data Platform,Seat,Synthetic data platform offering for benchmark workloads.,2022-08-15T14:57:52Z,1
01tvrfAHswk6XJ6AVT,Precision Lattice Data Platform Select Nova,SYN-000025,Data Platform,Seat,Synthetic data platform offering for benchmark workloads.,2021-09-27T12:43:00Z,1
01t0gRllD3sYkehQJL,April William Grant,SYN-000026,Hardware,License,Synthetic hardware offering for benchmark workloads.,2021-06-06T04:22:40Z,1
01tQBzLTuDrA4rIY2R,Christopher Brent Hall,SYN-000027,Training,Subscription,Synthetic training offering for benchmark workloads.,2025-01-04T22:17:49Z,1
01t2EzMCSR6AFKDYFT,Adaptive Orbit Data Platform Professional Pulse,SYN-000028,Data Platform,License,Synthetic data platform offering for benchmark workloads.,2022-09-13T13:52:12Z,1
01tsmdSzMPxkDVuYGY,Dynamic Foundry Cloud Service Standard Atlas,SYN-000029,Cloud Service,License,Synthetic cloud service offering for benchmark workloads.,2025-06-23T00:08:42Z,1
01tXFPVYo6XqDczYVB,Integrated Beacon Cloud Service Core Ion,SYN-000030,Cloud Service,License,Synthetic cloud service offering for benchmark workloads.,2023-11-29T21:15:46Z,1
01t7hUvwBpp5PImQLG,Lauren William Pittman,SYN-000031,Advisory,Subscription,Synthetic advisory offering for benchmark workloads.,2025-07-27T17:46:33Z,1
01tRq8pE579FvdwIAM,Jeffrey Scott Harrington,SYN-000032,Hardware,Subscription,Synthetic hardware offering for benchmark workloads.,2025-04-29T23:34:25Z,1
01tFxFJHOHvc9HvARQ,Rapid Compass Data Platform Standard Ion,SYN-000033,Data Platform,Each,Synthetic data platform offering for benchmark workloads.,2025-06-30T09:54:33Z,1
01tAL3si8B03DPDQ9O,Unified Summit Data Platform Core Vector,SYN-000034,Data Platform,Each,Synthetic data platform offering for benchmark workloads.,2023-04-27T12:51:07Z,1
01tquqtjfoZD0qtA3P,Hannah Mike Garcia,SYN-000035,Training,Each,Synthetic training offering for benchmark workloads.,2025-06-23T05:31:53Z,1
01tJs4IP4KXGpqSYC5,Melissa Calvin Ramirez,SYN-000036,Advisory,License,Synthetic advisory offering for benchmark workloads.,2026-03-17T12:11:15Z,1
01tAi7cp22LvTrpYZA,Elastic Vertex Cloud Service Ultimate Vector,SYN-000037,Cloud Service,Each,Synthetic cloud service offering for benchmark workloads.,2024-11-23T02:53:20Z,1
01tWy4aSbWTH5MRAD6,Shane Troy Davis,SYN-000038,Support,Subscription,Synthetic support offering for benchmark workloads.,2025-12-17T23:31:15Z,1
01tTz3gcBmsMjInYD3,Jenny Felicia Hooper,SYN-000039,Training,Subscription,Synthetic training offering for benchmark workloads.,2022-04-30T11:44:50Z,1
01t4at7lw4j5FweYL1,Richard Robert Ray,SYN-000040,Advisory,Seat,Synthetic advisory offering for benchmark workloads.,2022-11-05T22:14:12Z,1
01tcUKXpM0WRALnA5M,Unified Pioneer Data Platform Ultimate Cobalt,SYN-000041,Data Platform,License,Synthetic data platform offering for benchmark workloads.,2022-12-07T10:54:09Z,1
01tsLqWnGdfONUtA8Q,Christopher Anthony Thompson,SYN-000042,Support,Subscription,Synthetic support offering for benchmark workloads.,2026-02-06T21:38:37Z,1
01tGZiKZgaKqDjfI4K,Holly Jill Mason,SYN-000043,Training,Subscription,Synthetic training offering for benchmark workloads.,2022-08-16T20:23:19Z,1
01tFpX2FRUqcRnqIM9,Keith Brandi Cervantes,SYN-000044,Advisory,Each,Synthetic advisory offering for benchmark workloads.,2024-05-16T00:19:46Z,1
01tAKxax5wNHmuXAAK,Lance Roger Tran,SYN-000045,Training,Seat,Synthetic training offering for benchmark workloads.,2026-04-10T06:10:40Z,1
01tPtwsyf9n0MWKYPH,Precision Ember Cloud Service Essential Aurora,SYN-000046,Cloud Service,Seat,Synthetic cloud service offering for benchmark workloads.,2024-07-20T21:21:43Z,1
01ttnIcUmf2LrF4AX4,Justin Lisa Monroe,SYN-000047,Advisory,License,Synthetic advisory offering for benchmark workloads.,2024-12-02T06:48:19Z,0
01tKbJWKm600cCgAJE,Renee Alejandro Bowen,SYN-000048,Support,Seat,Synthetic support offering for benchmark workloads.,2024-08-18T01:31:28Z,1
01t45T2r1s9UOtNILZ,Kelly Andrea Jordan,SYN-000049,Hardware,Each,Synthetic hardware offering for benchmark workloads.,2023-08-24T09:57:48Z,1
01toGBkQESLwGrGAB2,Suzanne Danielle Bryant,SYN-000050,Advisory,Seat,Synthetic advisory offering for benchmark workloads.,2023-01-03T13:06:30Z,1
01t5ehc5TO9L51fAY8,Erica Curtis Fuller,SYN-000051,Hardware,License,Synthetic hardware offering for benchmark workloads.,2023-12-06T16:01:18Z,1
01ttpCDj58dFUZxQW0,Modular Harbor Data Platform Standard Cascade,SYN-000052,Data Platform,Subscription,Synthetic data platform offering for benchmark workloads.,2026-06-11T11:31:44Z,1
01tib3QpzkDJ5ZXY0G,Precision Compass Data Platform Core Nova,SYN-000053,Data Platform,Subscription,Synthetic data platform offering for benchmark workloads.,2024-08-17T04:48:03Z,1
01tGCTC0Cocai7mYLU,Quantum Summit Cloud Service Enterprise Zenith,SYN-000054,Cloud Service,License,Synthetic cloud service offering for benchmark workloads.,2022-01-02T22:55:12Z,1
01tH9FF8fA9CZeKYBG,Unified Lattice Data Platform Professional Cobalt,SYN-000055,Data Platform,License,Synthetic data platform offering for benchmark workloads.,2022-07-31T15:20:28Z,0
01tABpW6ZnkU3r9I20,Adaptive Ember Data Platform Ultimate Nova,SYN-000056,Data Platform,License,Synthetic data platform offering for benchmark workloads.,2022-03-04T09:08:34Z,1
01tRmAU3fmNV1CqYPI,Connected Vertex Data Platform Edge Atlas,SYN-000057,Data Platform,Seat,Synthetic data platform offering for benchmark workloads.,2023-02-21T01:24:59Z,1
01tt2HXiQI7E9F1IRL,Krystal Jonathon Baker,SYN-000058,Support,Subscription,Synthetic support offering for benchmark workloads.,2022-09-08T06:12:57Z,1
01tcaoN6u2mHIFoQPB,Derek Rebecca Watson,SYN-000059,Advisory,Seat,Synthetic advisory offering for benchmark workloads.,2024-07-18T18:33:12Z,1
01t7uoJkYp0qlw7YJC,Jamie Jason Willis,SYN-000060,Support,Subscription,Synthetic support offering for benchmark workloads.,2026-03-11T12:51:22Z,1
01tJCv6SzssB7KyQZG,William Eric Hayes,SYN-000061,Advisory,Each,Synthetic advisory offering for benchmark workloads.,2022-08-14T21:02:33Z,1
01tUsi4SI5lcLBaYYX,Unified Harbor Data Platform Foundation Solstice,SYN-000062,Data Platform,License,Synthetic data platform offering for benchmark workloads.,2021-06-04T16:02:20Z,1
01tLFl0Q88j3GaOATF,Danny David Jordan,SYN-000063,Advisory,Seat,Synthetic advisory offering for benchmark workloads.,2022-10-03T18:00:43Z,1
01tJJToWew3jl1jYQN,Brett Dana Burke,SYN-000064,Hardware,License,Synthetic hardware offering for benchmark workloads.,2024-04-11T14:17:28Z,1
01tZQBSs1fvhCTNICA,Alyssa Patricia Barnes,SYN-000065,Training,Seat,Synthetic training offering for benchmark workloads.,2022-10-18T12:29:37Z,1
01twCEcgDDkMd9pACR,Randall Cameron Smith,SYN-000066,Training,Subscription,Synthetic training offering for benchmark workloads.,2024-01-16T14:12:50Z,1
01tDf1oeVcjAz1QI83,Laurie Julia Collier,SYN-000067,Support,Subscription,Synthetic support offering for benchmark workloads.,2025-12-04T02:58:20Z,1
01t2WPKVWsXQVDUQWP,Quantum Orbit Cloud Service Vertex Vector,SYN-000068,Cloud Service,License,Synthetic cloud service offering for benchmark workloads.,2021-01-03T05:18:18Z,1
