Id,Name,StageName,CloseDate,Type,LeadSource,NextStep,ForecastCategoryName,CurrencyIsoCode,Description,CreatedDate,IsClosed,IsWon,Probability,Amount,AccountId,CampaignId,Pricebook2Id,SyncedQuoteId
52tXl8ylcDz2RlRQ2J,Peregrine Hollow Keystone Global Collective - Adaptive Pioneer Hardware Foundation Nova New Business,Qualification,2027-06-18,New Customer,Outbound,Schedule review,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-06-19T06:50:55Z,0,0,20.0,39079.14,,701C5GBKeBniO3YY7J,01sQ4LtuJF9K1vlMFT,
711XnpU5BC0GELIQ7O,Oakmere Moonridge Coastal Partners - Dynamic Harbor Support Scale Zenith Renewal,Needs Analysis,2027-02-05,Existing Customer - Upgrade,Partner Referral,Finalize terms,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2025-12-24T04:45:01Z,0,0,35.0,779792.61,001JLvRCLNllmEyYER,,01sf902KvuoXgXtOGX,
816p3J8VmnEOsVcISX,Novacairn Redwood Summit Works - Integrated Compass Data Platform Ultimate Cobalt Renewal,Needs Analysis,2026-06-12,New Customer,Event,Finalize terms,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2025-12-07T18:24:30Z,0,0,35.0,921352.64,001AZHmNsDfQdrZQQD,,01sLoYtuPuiAhJSKZN,0Q02rF80Ujouh1x00J
0068jH15h6z8GI9IK4,Morrowfen Stonebridge Pacific Industries - Modular Summit Support Edge Pulse New Business,Closed Lost,2024-03-24,Existing Customer - Renewal,Customer Referral,Prepare proposal,Closed,USD,Synthetic opportunity generated from aggregate CRM structure only.,2023-05-24T14:42:53Z,1,0,0.0,1002839.98,001yVmlwCnpWY0fA4W,,01sf902KvuoXgXtOGX,0Q0CvjO8ZMb9ED1CN5
510jeTNS5V4arVzQ1Z,Latticebrook Bluecrest Lakeside Systems - Precision Lattice Data Platform Foundation Atlas Renewal,Value Proposition,2026-09-20,New Customer,Event,Prepare proposal,Best Case,USD,Synthetic opportunity generated from aggregate CRM structure only.,2025-12-05T01:36:03Z,0,0,50.0,324392.18,001LvVfPxnoy5b1YY0,,01sf902KvuoXgXtOGX,
00631F4ooCdwrqsY33,Kestrel Arc Clearpath Eastern Collective - Rapid Ember Support Scale Horizon Expansion,Needs Analysis,2026-08-12,Existing Customer - Renewal,Web,Confirm requirements,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2025-12-31T21:00:15Z,0,0,35.0,1702216.05,001oPLQgL6DtzXuQJ9,,01sf902KvuoXgXtOGX,
006X3pcjRcV8adCAO1,Juniper Vale Evergreen Western Logistics - Unified Vertex Hardware Ultimate Pulse Renewal,Value Proposition,2027-03-08,New Customer,Web,Finalize terms,Best Case,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-01-12T23:12:23Z,0,0,50.0,2341934.09,001G40EGKjt7p96I7T,701eYR0IxKvWggxING,01sQ4LtuJF9K1vlMFT,0Q0mEYzCyUumT5p08G
0065LAI2nJdsHUBYK1,Ivorypine Goldenleaf Regional Works - Adaptive Orbit Data Platform Essential Aurora Expansion,Needs Analysis,2027-01-13,New Customer,Organic Search,Confirm requirements,Pipeline,USD,Synthetic opportunity generated from aggregate CRM structure only.,2026-03-11T11:29:29Z,0,0,35.0,26197.7,0012Sv7fgBrqn2tAX8,701DNuvDGEm4hghY4U,01sLoYtuPuiAhJSKZN,
006ynW7PBgOdgXiISI,Harborlume Ironwood Lakeside Industries - Dynamic Foundry Advisory Premier Ion Renewal,Closed Won,2023-03-10,New Customer,Partner Referral,Prepare proposal,Closed,USD,Synthetic opportunity generated from aggregate CRM structure only.,2022-12-21T02:09:11Z,1,1,100.0,1259431.74,001N2mO6ogfdaXBYDK,,01sLoYtuPuiAhJSKZN,0Q0pTESXUksp8qRKR8
006lsVcb21ouqEAQD7,Glimmerforge Keystone Eastern Systems - Integrated Beacon Advisory Select Solstice Expansion,Closed Won,2026-02-11,New Customer,Organic Search,Finalize terms,Closed,USD,Synthetic opportunity generated from aggregate CRM structure only.,2025-06-22T10:47:33Z,1,1,100.0,1773350.08,001Ql5gfswhLAUiIZH,701C5GBKeBniO3YY7J,01sf902KvuoXgXtOGX,0Q0p0qInI3rvKx0KZ0
