Id,Name,Type,Industry,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,Phone,Website,Rating,Description,CreatedDate,NumberOfEmployees,AnnualRevenue,ParentId
001OLEw0xIyryQpQ2X,Kylie Keith Williams,Prospect,Energy,402 Peterson Drives,Lake Briar,WA,43001,United States,'+1-303-555-0183,https://novacairn-northstar-western-logistics.example.invalid,Cold,Established organization focused on service reliability.,2026-03-19T05:31:52Z,900,227417859.7,
001rvlO3y0uELfOAW4,Morrowfen Silverline Regional Works,Former Customer,Energy,16475 Mitchell Fords,Willow Harbor,TX,16269,United States,'+1-415-555-0189,https://morrowfen-silverline-regional-works.example.invalid,Hot,Established organization focused on service reliability.,2021-12-10T04:50:02Z,90,20944638.49,
001NQ7pQIMyLteLAHE,Margaret Brian Anderson,Former Customer,Healthcare,537 Wilkerson Row,Alder Bay,WA,28724,United States,'+1-415-555-0153,https://latticebrook-westwind-lakeside-industries.example.invalid,Cold,Established organization focused on service reliability.,2021-07-29T01:33:44Z,48,13562827.97,
001Cie8IUBvN1LAIXN,Joseph Jessica Mercado,Customer,Business Services,784 Erin Crescent,Summit Glen,NC,44355,United States,'+1-202-555-0159,https://kestrel-arc-brightwater-frontier-systems.example.invalid,Cold,Growing organization with a multi-year technology roadmap.,2021-11-19T09:53:07Z,48,10750230.39,
001B2d6s5HXqPpaQYB,Isabella James Castro,Customer,Education,4303 Christopher Oval,Northhaven,TX,14293,United States,'+1-303-555-0137,https://juniper-vale-copperfield-worldwide-analytics.example.invalid,Cold,Regional organization evaluating operational improvements.,2022-11-09T01:26:54Z,90,25556499.8,001OLEw0xIyryQpQ2X
001PNjrEBhT4URLAB1,Donald Isaac Hale,Former Customer,Consumer Goods,93010 Carlos Bypass,Willow Harbor,MA,90801,United States,'+1-202-555-0191,https://ivorypine-farpoint-southern-logistics.example.invalid,Warm,Growing organization with a multi-year technology roadmap.,2024-02-18T16:23:28Z,520,109083505.46,
001Xr4ot1oG2AteQ4O,Brian Howard Ball,Former Customer,Consumer Goods,1333 Taylor Falls,Summit Glen,CA,80672,United States,'+1-303-555-0140,https://harborlume-highland-northern-works.example.invalid,Cold,Regional organization evaluating operational improvements.,2024-09-29T09:17:39Z,48,10603803.64,
001IOGBmeiQlCpGYR9,Aaron Danielle Blackwell,Prospect,Financial Services,98050 Breanna Parkway,Northhaven,CO,71701,United States,'+1-202-555-0143,https://glimmerforge-juniper-frontier-industries.example.invalid,Warm,Established organization focused on service reliability.,2024-01-21T02:19:35Z,900,302157693.09,
001yvWhfz01vDWFY3M,Fablecrest Longview Worldwide Partners,Prospect,Transportation,534 Anderson Rue,Willow Harbor,WA,45982,United States,'+1-303-555-0125,https://fablecrest-longview-worldwide-partners.example.invalid,Warm,Growing organization with a multi-year technology roadmap.,2025-12-29T11:35:42Z,48,8356280.36,
001ygA3FAG75gTTAXO,Robert Jessica Montgomery,Customer,Retail,24118 Joseph Rapids,Northhaven,OR,32372,United States,'+1-713-555-0137,https://evertrail-northstar-southern-analytics.example.invalid,Cold,Established organization focused on service reliability.,2021-04-21T12:49:23Z,3000,901658543.23,
001qP46mGWsPnuOQ5R,Deborah Carla Adams,Former Customer,Technology,280 Aguilar Drive,Lake Briar,CA,43593,United States,'+1-415-555-0149,https://deltora-silverline-northern-logistics.example.invalid,Cold,Established organization focused on service reliability.,2024-11-02T17:08:53Z,48,8202936.02,001rvlO3y0uELfOAW4
001Ra45bI6XkX2bYRW,Peter Bethany Shah,Partner,Education,73375 Hoover Well,Willow Harbor,WA,64988,United States,'+1-202-555-0115,https://cinderquill-westwind-frontier-works.example.invalid,Hot,Regional organization evaluating operational improvements.,2021-02-27T06:40:37Z,90,26128159.61,
001gQSNxeXgntf7YR3,Maria Brandi Rivera,Partner,Healthcare,6981 Lam Field,Lake Briar,CO,63179,United States,'+1-303-555-0179,https://brindlewave-brightwater-coastal-industries.example.invalid,Cold,Growing organization with a multi-year technology roadmap.,2024-01-20T01:03:53Z,900,288508829.13,
001iWJjSJhQ7PeuAR2,Avenlo Copperfield Summit Partners,Customer,Healthcare,44369 Marshall Mills,Summit Glen,CA,34508,United States,'+1-971-555-0157,https://avenlo-copperfield-summit-partners.example.invalid,Hot,Growing organization with a multi-year technology roadmap.,2022-01-14T00:06:14Z,520,145333799.08,
0014pV3Hc4QcEQfYGG,Christopher Matthew Vasquez,Prospect,Transportation,7632 Patricia Wall,Lake Briar,CO,44118,United States,'+1-303-555-0127,https://rivermark-evergreen-pacific-analytics.example.invalid,Cold,Growing organization with a multi-year technology roadmap.,2023-07-19T13:24:41Z,160,45529034.86,
001nrvjrS2WHC2oY9X,Brenda Monica Osborne,Former Customer,Business Services,734 Jones Heights,Lake Briar,WA,78525,United States,'+1-415-555-0166,https://quarrylight-goldenleaf-global-logistics.example.invalid,Cold,Growing organization with a multi-year technology roadmap.,2023-03-30T02:16:34Z,12,2898415.07,001Xr4ot1oG2AteQ4O
001CQsu3nn5gAVpQ7B,Danielle Jennifer Rodriguez,Former Customer,Consumer Goods,8893 Robinson Mews,Alder Bay,MA,79612,United States,'+1-971-555-0112,https://peregrine-hollow-ironwood-coastal-works.example.invalid,Cold,Established organization focused on service reliability.,2023-03-18T20:43:02Z,24,6874052.34,
001AZHmNsDfQdrZQQD,Brad Debbie Mccoy,Former Customer,Energy,5564 King Common,Northhaven,WA,62726,United States,'+1-971-555-0142,https://oakmere-keystone-summit-collective.example.invalid,Hot,Growing organization with a multi-year technology roadmap.,2021-11-22T18:47:55Z,24,4214802.18,
001FVBcrH6719XQAUS,Novacairn Moonridge Pacific Partners,Customer,Energy,99124 Beth Inlet,Alder Bay,OR,66039,United States,'+1-617-555-0186,https://novacairn-moonridge-pacific-partners.example.invalid,Cold,Regional organization evaluating operational improvements.,2026-06-19T13:43:47Z,12,1356702.05,
001apZYag4darBdYRL,Katrina Tamara Merritt,Customer,Technology,7262 Gilbert Plain,Willow Harbor,WA,95737,United States,'+1-303-555-0139,https://morrowfen-redwood-global-analytics.example.invalid,Warm,Established organization focused on service reliability.,2023-07-04T06:00:13Z,24,2593064.19,
001xCcjaWJxjfQtAJX,Derek Daniel Lewis,Prospect,Retail,313 Freeman Trace,Northhaven,OR,60685,United States,'+1-202-555-0169,https://latticebrook-stonebridge-coastal-logistics.example.invalid,Warm,Established organization focused on service reliability.,2025-11-01T17:29:00Z,1500,221442613.4,
001ZBID6zyXHdcLAAH,Darlene Wanda Davis,Prospect,Healthcare,3135 Julia Track,Cedar Crossing,WA,63000,United States,'+1-617-555-0151,https://kestrel-arc-bluecrest-western-systems.example.invalid,Hot,Regional organization evaluating operational improvements.,2022-01-27T05:29:09Z,12,3094573.24,
001ujvFKM20aGTQIC2,Juniper Vale Clearpath Regional Collective,Prospect,Energy,477 Peterson Center,Northhaven,TX,95577,United States,'+1-303-555-0135,https://juniper-vale-clearpath-regional-collective.example.invalid,Cold,Growing organization with a multi-year technology roadmap.,2026-05-23T11:47:06Z,90,23286417.61,
001acV09mYJcIa6YCV,Ivorypine Evergreen Lakeside Partners,Partner,Energy,9649 Chelsea Streets,Summit Glen,WA,88084,United States,'+1-202-555-0149,https://ivorypine-evergreen-lakeside-partners.example.invalid,Hot,Growing organization with a multi-year technology roadmap.,2024-04-04T14:13:08Z,520,130922179.07,
001OLdGcwV4anrfQXZ,Eric Juan Bryant,Partner,Manufacturing,24210 Laura Ranch,Summit Glen,WA,99720,United States,'+1-415-555-0185,https://harborlume-goldenleaf-eastern-analytics.example.invalid,Warm,Regional organization evaluating operational improvements.,2024-11-12T14:34:51Z,90,16904951.61,001B2d6s5HXqPpaQYB
001Mpyhcy0YjCuyQPK,Matthew Todd Sullivan,Partner,Energy,96717 Ortiz Islands,Willow Harbor,CO,39763,United States,'+1-971-555-0169,https://glimmerforge-ironwood-western-industries.example.invalid,Warm,Growing organization with a multi-year technology roadmap.,2022-11-06T10:53:53Z,900,166467271.02,
001pTWz3tTkTLr9I1D,Fablecrest Keystone Regional Systems,Partner,Business Services,34824 Gilmore Oval,Cedar Crossing,OR,44600,United States,'+1-415-555-0132,https://fablecrest-keystone-regional-systems.example.invalid,Cold,Regional organization evaluating operational improvements.,2024-03-05T14:03:33Z,24,5096882.58,
001t1tQX1aEupiNQXE,Edward Denise Atkinson,Customer,Healthcare,821 Barton Walk,Northhaven,TX,67562,United States,'+1-713-555-0155,https://evertrail-moonridge-lakeside-collective.example.invalid,Warm,Regional organization evaluating operational improvements.,2023-03-15T00:19:51Z,160,49121143.18,
0014rTJuxo1U1bKAZR,Deltora Redwood Eastern Partners,Prospect,Healthcare,6627 David Ramp,Northhaven,OR,39969,United States,'+1-617-555-0106,https://deltora-redwood-eastern-partners.example.invalid,Warm,Regional organization evaluating operational improvements.,2025-05-20T12:18:22Z,1500,439996754.5,001Xr4ot1oG2AteQ4O
001Nq19y9hHnEHcAPQ,Manuel Deborah Russell,Partner,Manufacturing,3161 Scott Square,Summit Glen,OR,21851,United States,'+1-415-555-0124,https://cinderquill-stonebridge-western-works.example.invalid,Hot,Regional organization evaluating operational improvements.,2021-06-02T01:17:55Z,90,12941266.67,
001BAfwqbwr0TsUA0T,Julie Amy Hardy,Customer,Healthcare,7407 Byrd Estate,Summit Glen,TX,63246,United States,'+1-303-555-0186,https://brindlewave-bluecrest-southern-industries.example.invalid,Hot,Growing organization with a multi-year technology roadmap.,2024-05-17T22:17:41Z,900,91697874.01,
001pZZmTYW0GRFkYE7,Tanner Todd Marshall,Former Customer,Financial Services,097 Parsons Forks,Alder Bay,NC,22891,United States,'+1-202-555-0122,https://avenlo-clearpath-northern-systems.example.invalid,Cold,Established organization focused on service reliability.,2021-02-24T01:21:16Z,12,1237697.37,001OLEw0xIyryQpQ2X
001O9pjOr1MPWQwQSK,Susan Emily Williams,Partner,Business Services,4517 Donald Fork,Willow Harbor,CA,36895,United States,'+1-202-555-0157,https://rivermark-copperfield-frontier-collective.example.invalid,Warm,Established organization focused on service reliability.,2021-01-03T04:48:35Z,24,3283963.26,001Ra45bI6XkX2bYRW
001RUYGIDukMN3HIZS,Sarah Melissa Jackson,Prospect,Education,4612 Sophia Hollow,Summit Glen,CA,65714,United States,'+1-303-555-0195,https://quarrylight-farpoint-worldwide-logistics.example.invalid,Hot,Growing organization with a multi-year technology roadmap.,2021-03-26T02:30:06Z,1500,386520114.91,
001jwyJdAibi4NHILF,Joel Jody Holmes,Prospect,Technology,3171 Darlene Ranch,Lake Briar,OR,67120,United States,'+1-971-555-0150,https://peregrine-hollow-highland-southern-works.example.invalid,Warm,Established organization focused on service reliability.,2022-11-11T02:56:02Z,24,4086075.17,
001eE3A4cmn7G2gIHB,Ashley Laura Fischer,Former Customer,Consumer Goods,95024 David Manor,Lake Briar,MA,70150,United States,'+1-713-555-0181,https://oakmere-juniper-northern-industries.example.invalid,Hot,Growing organization with a multi-year technology roadmap.,2022-05-10T06:20:50Z,48,6142463.43,
001mdSX3YnkEjM0IVS,Chelsea Michael Holland,Prospect,Technology,985 Vang Pines,Alder Bay,CA,42702,United States,'+1-303-555-0184,https://novacairn-longview-frontier-systems.example.invalid,Cold,Regional organization evaluating operational improvements.,2021-04-08T07:54:42Z,24,3871765.94,
001Y7WfxpecwwzUQ8R,Amber Shelby Wagner,Partner,Media,098 Santiago Loop,Northhaven,CA,98241,United States,'+1-202-555-0118,https://morrowfen-northstar-worldwide-analytics.example.invalid,Warm,Growing organization with a multi-year technology roadmap.,2022-01-20T09:46:26Z,280,80040691.89,
001dUDfaBymF8HyAUN,Emily William Ramirez,Partner,Business Services,4550 Molly Port,Alder Bay,CA,32455,United States,'+1-303-555-0143,https://latticebrook-silverline-southern-logistics.example.invalid,Warm,Regional organization evaluating operational improvements.,2024-11-28T04:15:21Z,900,107468427.93,
001Ee8rMt958Fh9Y0A,Sarah Jennifer Sullivan,Former Customer,Manufacturing,156 Justin Springs,Willow Harbor,CO,53103,United States,'+1-415-555-0197,https://kestrel-arc-westwind-northern-works.example.invalid,Hot,Established organization focused on service reliability.,2024-03-17T07:48:51Z,900,359023065.85,
001BjMFM5mN692fQ0D,Mark Kimberly Avila,Prospect,Consumer Goods,1596 Mckinney Mall,Summit Glen,NC,17396,United States,'+1-202-555-0156,https://juniper-vale-brightwater-global-industries.example.invalid,Warm,Growing organization with a multi-year technology roadmap.,2026-02-22T23:45:19Z,280,34175712.86,
0014xFF5q1fi7GwQMP,Jessica Cheryl Harvey,Partner,Retail,88355 Joel Drive,Lake Briar,WA,95659,United States,'+1-303-555-0116,https://ivorypine-copperfield-coastal-systems.example.invalid,Hot,Regional organization evaluating operational improvements.,2024-11-01T05:05:33Z,280,99026818.89,
0018sCn7wzuyGKcIWS,Adam Betty Anderson,Prospect,Consumer Goods,0054 Deanna Walk,Cedar Crossing,WA,91490,United States,'+1-713-555-0146,https://harborlume-farpoint-summit-analytics.example.invalid,Hot,Established organization focused on service reliability.,2024-08-08T05:13:19Z,24,7085693.75,
001NRMSr13PD4ICIOI,Mckenzie Cynthia Thompson,Customer,Financial Services,255 Hughes Trail,Willow Harbor,CO,21444,United States,'+1-415-555-0152,https://glimmerforge-highland-pacific-logistics.example.invalid,Warm,Established organization focused on service reliability.,2023-02-25T20:11:22Z,520,77125872.13,
001oowXHzEaXod1YS1,Adam Maureen Castillo,Prospect,Education,3135 Julia Track,Summit Glen,CA,68640,United States,'+1-303-555-0148,https://fablecrest-juniper-global-works.example.invalid,Cold,Regional organization evaluating operational improvements.,2021-08-22T18:33:28Z,160,53192474.12,
001yWq2JW5BZvvMQ0L,Meghan Jordan Calhoun,Partner,Manufacturing,2816 Smith Inlet,Lake Briar,TX,59867,United States,'+1-971-555-0116,https://evertrail-longview-coastal-industries.example.invalid,Hot,Established organization focused on service reliability.,2024-09-02T06:27:55Z,160,30947027.12,
001Ts4G5LvwmAxUY42,Deltora Northstar Summit Partners,Customer,Manufacturing,379 Goodwin Tunnel,Lake Briar,TX,78072,United States,'+1-971-555-0158,https://deltora-northstar-summit-partners.example.invalid,Warm,Established organization focused on service reliability.,2024-07-09T12:02:19Z,160,35379191.06,001B2d6s5HXqPpaQYB
001D3FX1GvU3G1mAKG,Jennifer Brittany Cooper,Customer,Manufacturing,47826 Stacey Forges,Northhaven,TX,10713,United States,'+1-415-555-0176,https://cinderquill-silverline-pacific-analytics.example.invalid,Warm,Growing organization with a multi-year technology roadmap.,2023-03-09T07:15:39Z,90,17845705.54,
