Id,Name,ProductCode,Family,QuantityUnitOfMeasure,Description,CreatedDate,IsActive
01tajD2y2VoohjWQ7N,Dynamic Pioneer Support Premier Aurora,SYN-000001,Support,Each,Synthetic support offering for benchmark workloads.,2021-02-05T08:15:40Z,1
01tfpNseevgyHG4I4H,Integrated Harbor Support Select Ion,SYN-000002,Support,License,Synthetic support offering for benchmark workloads.,2022-01-09T09:31:24Z,1
01tVcftrCBIXeCkYVP,Open Compass Training Vertex Solstice,SYN-000003,Training,Seat,Synthetic training offering for benchmark workloads.,2023-10-08T23:54:16Z,1
01tehSnAF5tx1G7IVN,Precision Summit Training Essential Cascade,SYN-000004,Training,Subscription,Synthetic training offering for benchmark workloads.,2025-09-24T12:05:03Z,1
01tnFIvrye7TJuKI6Y,Rapid Lattice Support Premier Meridian,SYN-000005,Support,License,Synthetic support offering for benchmark workloads.,2021-07-10T03:29:39Z,1
01tURhthsLx6JyoQOA,Virtual Ember Data Platform Select Vector,SYN-000006,Data Platform,License,Synthetic data platform offering for benchmark workloads.,2023-04-15T01:53:33Z,1
01tyFDvfjAnoVc9Q1B,Adaptive Vertex Support Core Cobalt,SYN-000007,Support,Subscription,Synthetic support offering for benchmark workloads.,2025-10-20T20:08:21Z,1
01tKUFhZVuSwLH0YFY,Dynamic Orbit Data Platform Enterprise Nova,SYN-000008,Data Platform,Seat,Synthetic data platform offering for benchmark workloads.,2022-09-15T14:43:59Z,1
01tKASeQMf6eJe3A8K,Integrated Foundry Data Platform Professional Zenith,SYN-000009,Data Platform,Subscription,Synthetic data platform offering for benchmark workloads.,2021-10-01T17:01:24Z,1
01tbwEYr7q9wizHQ3D,Open Beacon Hardware Standard Cobalt,SYN-000010,Hardware,Each,Synthetic hardware offering for benchmark workloads.,2024-10-12T03:02:57Z,1
01tE5PQcgk49jQkYPK,Precision Pioneer Training Core Pulse,SYN-000011,Training,License,Synthetic training offering for benchmark workloads.,2023-04-06T11:46:29Z,1
01tTNvOYUjuEQraQ3O,Rapid Harbor Hardware Enterprise Atlas,SYN-000012,Hardware,License,Synthetic hardware offering for benchmark workloads.,2026-05-18T09:41:23Z,1
01t9zr8VHPQu1LlI0K,Virtual Compass Data Platform Professional Horizon,SYN-000013,Data Platform,Each,Synthetic data platform offering for benchmark workloads.,2022-07-16T05:05:55Z,1
01t10q07GCeMRMXQCJ,Adaptive Summit Support Ultimate Pulse,SYN-000014,Support,Each,Synthetic support offering for benchmark workloads.,2021-08-14T16:25:31Z,1
01t7lGWe0GCEcFvQ4A,Dynamic Lattice Cloud Service Edge Aurora,SYN-000015,Cloud Service,Seat,Synthetic cloud service offering for benchmark workloads.,2022-06-05T02:47:05Z,1
01t2bA7wlnQeUCxIWS,Integrated Ember Cloud Service Foundation Ion,SYN-000016,Cloud Service,License,Synthetic cloud service offering for benchmark workloads.,2024-05-10T04:50:46Z,1
01t6YVKVUd3CfahQAX,Modular Vertex Hardware Scale Solstice,SYN-000017,Hardware,Each,Synthetic hardware offering for benchmark workloads.,2025-10-27T04:51:11Z,1
01t264L3UVk4S01QTC,Precision Orbit Hardware Ultimate Aurora,SYN-000018,Hardware,Each,Synthetic hardware offering for benchmark workloads.,2023-04-05T23:37:51Z,1
01tV2dvwb7kXQVhITI,Rapid Foundry Training Edge Meridian,SYN-000019,Training,Subscription,Synthetic training offering for benchmark workloads.,2024-09-09T17:57:36Z,1
01tkl3rdZhto0MWIR8,Virtual Beacon Cloud Service Foundation Vector,SYN-000020,Cloud Service,License,Synthetic cloud service offering for benchmark workloads.,2021-08-05T13:56:22Z,1
01t7Wi3QdB9AjcFYKP,Adaptive Pioneer Cloud Service Select Cascade,SYN-000021,Cloud Service,Each,Synthetic cloud service offering for benchmark workloads.,2023-05-05T02:05:25Z,0
01tNG3h4vNcQBi8YQG,Dynamic Harbor Hardware Vertex Meridian,SYN-000022,Hardware,Seat,Synthetic hardware offering for benchmark workloads.,2023-01-13T04:26:44Z,1
01tcw78vDX9RWoZQ06,Integrated Compass Hardware Essential Zenith,SYN-000023,Hardware,Subscription,Synthetic hardware offering for benchmark workloads.,2022-12-26T04:17:57Z,1
01tTiYOuKc2VhIKABY,Modular Summit Data Platform Premier Cobalt,SYN-000024,Data Platform,Seat,Synthetic data platform offering for benchmark workloads.,2022-08-15T14:57:52Z,1
01tvrfAHswk6XJ6AVT,Precision Lattice Data Platform Select Nova,SYN-000025,Data Platform,Seat,Synthetic data platform offering for benchmark workloads.,2021-09-27T12:43:00Z,1
01t0gRllD3sYkehQJL,Rapid Ember Hardware Vertex Zenith,SYN-000026,Hardware,License,Synthetic hardware offering for benchmark workloads.,2021-06-06T04:22:40Z,1
01tQBzLTuDrA4rIY2R,Unified Vertex Training Essential Horizon,SYN-000027,Training,Subscription,Synthetic training offering for benchmark workloads.,2025-01-04T22:17:49Z,1
01t2EzMCSR6AFKDYFT,Adaptive Orbit Data Platform Professional Pulse,SYN-000028,Data Platform,License,Synthetic data platform offering for benchmark workloads.,2022-09-13T13:52:12Z,1
01tsmdSzMPxkDVuYGY,Dynamic Foundry Cloud Service Standard Atlas,SYN-000029,Cloud Service,License,Synthetic cloud service offering for benchmark workloads.,2025-06-23T00:08:42Z,1
01tXFPVYo6XqDczYVB,Integrated Beacon Cloud Service Core Ion,SYN-000030,Cloud Service,License,Synthetic cloud service offering for benchmark workloads.,2023-11-29T21:15:46Z,1
01t7hUvwBpp5PImQLG,Modular Pioneer Advisory Enterprise Solstice,SYN-000031,Advisory,Subscription,Synthetic advisory offering for benchmark workloads.,2025-07-27T17:46:33Z,1
01tRq8pE579FvdwIAM,Precision Harbor Hardware Professional Aurora,SYN-000032,Hardware,Subscription,Synthetic hardware offering for benchmark workloads.,2025-04-29T23:34:25Z,1
01tFxFJHOHvc9HvARQ,Rapid Compass Data Platform Standard Ion,SYN-000033,Data Platform,Each,Synthetic data platform offering for benchmark workloads.,2025-06-30T09:54:33Z,1
01tAL3si8B03DPDQ9O,Unified Summit Data Platform Core Vector,SYN-000034,Data Platform,Each,Synthetic data platform offering for benchmark workloads.,2023-04-27T12:51:07Z,1
01tquqtjfoZD0qtA3P,Adaptive Lattice Training Foundation Cascade,SYN-000035,Training,Each,Synthetic training offering for benchmark workloads.,2025-06-23T05:31:53Z,1
01tJs4IP4KXGpqSYC5,Dynamic Ember Advisory Scale Meridian,SYN-000036,Advisory,License,Synthetic advisory offering for benchmark workloads.,2026-03-17T12:11:15Z,1
01tAi7cp22LvTrpYZA,Elastic Vertex Cloud Service Ultimate Vector,SYN-000037,Cloud Service,Each,Synthetic cloud service offering for benchmark workloads.,2024-11-23T02:53:20Z,1
01tWy4aSbWTH5MRAD6,Modular Orbit Support Edge Cobalt,SYN-000038,Support,Subscription,Synthetic support offering for benchmark workloads.,2025-12-17T23:31:15Z,1
01tTz3gcBmsMjInYD3,Precision Foundry Training Foundation Nova,SYN-000039,Training,Subscription,Synthetic training offering for benchmark workloads.,2022-04-30T11:44:50Z,1
01t4at7lw4j5FweYL1,Rapid Beacon Advisory Scale Zenith,SYN-000040,Advisory,Seat,Synthetic advisory offering for benchmark workloads.,2022-11-05T22:14:12Z,1
01tcUKXpM0WRALnA5M,Unified Pioneer Data Platform Ultimate Cobalt,SYN-000041,Data Platform,License,Synthetic data platform offering for benchmark workloads.,2022-12-07T10:54:09Z,1
01tsLqWnGdfONUtA8Q,Adaptive Harbor Support Essential Pulse,SYN-000042,Support,Subscription,Synthetic support offering for benchmark workloads.,2026-02-06T21:38:37Z,1
01tGZiKZgaKqDjfI4K,Dynamic Compass Training Premier Atlas,SYN-000043,Training,Subscription,Synthetic training offering for benchmark workloads.,2022-08-16T20:23:19Z,1
01tFpX2FRUqcRnqIM9,Elastic Summit Advisory Select Horizon,SYN-000044,Advisory,Each,Synthetic advisory offering for benchmark workloads.,2024-05-16T00:19:46Z,1
01tAKxax5wNHmuXAAK,Modular Lattice Training Vertex Pulse,SYN-000045,Training,Seat,Synthetic training offering for benchmark workloads.,2026-04-10T06:10:40Z,1
01tPtwsyf9n0MWKYPH,Precision Ember Cloud Service Essential Aurora,SYN-000046,Cloud Service,Seat,Synthetic cloud service offering for benchmark workloads.,2024-07-20T21:21:43Z,1
01ttnIcUmf2LrF4AX4,Quantum Vertex Advisory Premier Ion,SYN-000047,Advisory,License,Synthetic advisory offering for benchmark workloads.,2024-12-02T06:48:19Z,0
01tKbJWKm600cCgAJE,Unified Orbit Support Select Solstice,SYN-000048,Support,Seat,Synthetic support offering for benchmark workloads.,2024-08-18T01:31:28Z,1
01t45T2r1s9UOtNILZ,Adaptive Foundry Hardware Core Cascade,SYN-000049,Hardware,Each,Synthetic hardware offering for benchmark workloads.,2023-08-24T09:57:48Z,1
01toGBkQESLwGrGAB2,Dynamic Beacon Advisory Enterprise Meridian,SYN-000050,Advisory,Seat,Synthetic advisory offering for benchmark workloads.,2023-01-03T13:06:30Z,1
01t5ehc5TO9L51fAY8,Elastic Pioneer Hardware Professional Vector,SYN-000051,Hardware,License,Synthetic hardware offering for benchmark workloads.,2023-12-06T16:01:18Z,1
01ttpCDj58dFUZxQW0,Modular Harbor Data Platform Standard Cascade,SYN-000052,Data Platform,Subscription,Synthetic data platform offering for benchmark workloads.,2026-06-11T11:31:44Z,1
